,1,4,7,10,13,16,19,22,25,28
0,22130444.671015315,17265096.015755568,13153118.307040423,11509630.58809325,10367912.153978584,9402797.781695994,9366591.66138946,8872240.003426926,8700819.803073,8968599.631994704
1,22126795.716935903,15907789.682532296,12053135.269715887,9938241.318867296,8660535.370868893,7834553.426398138,7309764.8796333615,6884702.187699774,6723676.309815957,6442990.599038014
2,22110034.035960995,16204251.901579686,12167637.966869943,9854984.687817879,8417603.900828723,7411208.745512872,6878602.407237498,6386845.843534896,6154155.839653453,5846910.745340214
3,21594357.026908614,16150160.858243579,12156851.064594481,9711878.850002047,8264833.578022226,7385374.88345693,6775906.4637207845,6186296.132763916,5964426.662865319,5715024.7883829875
4,22098414.725380294,16366850.158574207,11866899.493675062,9787202.124283843,8279604.824388585,7306776.765575784,6696700.394191366,6171766.836863204,5846400.588236387,5615995.872756555
5,22106454.540543217,16515301.474452877,11902778.883827824,9558570.072241994,8297866.328636869,7289847.112906569,6588641.133415304,6108666.130749113,5772807.465943371,5551035.039645803
6,21980555.79100591,16131118.28371876,12018685.628230318,9612506.28550911,8140111.538776329,7187417.852657718,6524124.228468821,6135106.988052251,5806959.893047202,5453002.432677224
7,21895693.017855037,16308018.4951447,11843025.39653064,9713429.261307027,8133274.22687051,7208478.011573693,6493797.451790228,6108912.644365454,5729222.5472532045,5403573.847993899
8,21716396.718527358,15974142.591778869,11961560.989117458,9568916.79509744,8158325.773040827,7201620.737105532,6552312.136879525,6043830.922643175,5686051.223835415,5453926.855379094
9,21738313.174256716,16052886.344801242,12213146.841155455,9649821.459573444,8169027.227985214,7130114.670920846,6427029.951711724,5981142.238365183,5686683.021664468,5438051.354122053
